entry_ts,exit_ts,side,entry,exit,qty,pnl_net,r_multiple,tp_hits,stopped
2024-01-01T00:01:00+00:00,2024-01-01T00:24:00+00:00,-1,41932.35118546625,42057.32957253733,1.0001729333321132,-75.3275232240161,-0.6026201857921288,1,1
2024-01-01T00:25:00+00:00,2024-01-01T01:02:00+00:00,-1,41986.56457413587,42084.13460854401,1.2714806007011825,50.071610667603316,0.4036132036378817,2,1
2024-01-01T01:02:00+00:00,2024-01-01T01:23:00+00:00,1,42068.90108520814,42651.6383840558,0.7721281280167775,225.35162010608252,1.8073776580574912,3,0
2024-01-01T01:23:00+00:00,2024-01-01T01:59:00+00:00,1,42651.6383840558,42510.474470791894,0.9032138129098809,-71.72849798693365,-0.5625711761417557,1,1
2024-01-01T02:04:00+00:00,2024-01-01T02:05:00+00:00,1,42416.23181902223,42346.405357502896,1.8131319755403157,-218.89206155113772,-1.728942539480361,0,1
2024-01-01T02:06:00+00:00,2024-01-01T02:26:00+00:00,1,42393.015510208985,42278.83881688756,1.0848837511998652,-79.96348029969609,-0.645551689511962,1,1
2024-01-01T02:26:00+00:00,2024-01-01T02:59:00+00:00,1,42352.01800182918,42768.84108795278,1.0671798096647342,206.2453969822351,1.678581023793582,3,0
2024-01-01T02:59:00+00:00,2024-01-01T03:02:00+00:00,1,42768.84108795278,42629.182724486,0.8982416820208278,-171.54707021698272,-1.3674868302301693,0,1
2024-01-01T03:03:00+00:00,2024-01-01T03:56:00+00:00,1,42705.39817885697,43232.94514393216,0.9094256214156919,214.79670492171005,1.742028647337978,3,0
2024-01-01T03:56:00+00:00,2024-01-01T04:00:00+00:00,1,43232.94514393216,43096.57388756229,0.9238573222555185,-173.91687126315537,-1.3804286588957473,0,1
2024-01-01T04:00:00+00:00,2024-01-01T05:21:00+00:00,1,43169.6179234568,43044.21605439281,0.9873347484838612,62.7610963980392,0.5068997655711461,2,1
2024-01-01T05:23:00+00:00,2024-01-01T05:36:00+00:00,-1,43024.120308938654,43130.347903670794,1.1729356846576,-185.15556777029926,-1.4860219653933877,0,1
2024-01-01T05:37:00+00:00,2024-01-01T05:48:00+00:00,-1,43064.65523022995,43187.05039772976,0.9990892161631264,-76.08725755787475,-0.6222191719812302,1,1
2024-01-01T05:48:00+00:00,2024-01-01T05:52:00+00:00,-1,43100.03988907154,43247.50388388185,0.8227947533643054,-163.88758526869196,-1.3507300065579457,0,1
