entry_ts,exit_ts,side,entry,exit,qty,pnl_net,r_multiple,tp_hits,stopped
2024-01-01T05:53:00+00:00,2024-01-01T06:40:00+00:00,-1,43205.2337801282,43317.94829679209,1.0582843271191709,54.8731797994385,0.4600212672627075,2,1
2024-01-01T06:40:00+00:00,2024-01-01T08:24:00+00:00,1,43305.38669407568,43909.45562620655,0.7514227007583677,215.28745213155614,1.7945119078925726,3,0
2024-01-01T08:24:00+00:00,2024-01-01T09:20:00+00:00,1,43909.45562620655,44365.62326247978,1.0403510697886973,205.22385140402247,1.6730976222243599,3,0
2024-01-01T09:20:00+00:00,2024-01-01T09:25:00+00:00,1,44365.62326247978,44224.4088831022,0.8867815941822033,-172.43745421420377,-1.3770065637057023,0,1
2024-01-01T09:27:00+00:00,2024-01-01T09:38:00+00:00,1,44289.444079519344,44156.03097926229,0.922479457047985,-172.09816708113732,-1.3983666730854498,0,1
2024-01-01T09:39:00+00:00,2024-01-01T10:18:00+00:00,1,44171.87703761459,44526.003022277546,1.4188066283973624,181.14396614771562,1.4980527588715735,3,0
2024-01-01T10:18:00+00:00,2024-01-01T10:23:00+00:00,1,44526.003022277546,44406.64145909357,1.0320233204945632,-178.32616496143322,-1.4476416209829062,0,1
2024-01-01T10:26:00+00:00,2024-01-01T10:34:00+00:00,1,44360.355026464385,44257.94623439769,1.1810981974649484,-183.827562147329,-1.5198032801430588,0,1
2024-01-01T10:37:00+00:00,2024-01-01T10:45:00+00:00,1,44206.92075835497,44134.084077834435,1.629082961218049,-110.15148868796092,-0.928318541302358,1,1
2024-01-01T10:49:00+00:00,2024-01-01T11:04:00+00:00,-1,44090.79780987435,44221.199876356215,0.8993730294557938,-71.04090959268603,-0.6057371083088262,1,1
2024-01-01T11:07:00+00:00,2024-01-01T11:12:00+00:00,-1,44246.25012368675,44360.143820692596,1.0219361849603212,-170.65230306942516,-1.4661847103417431,0,1
2024-01-01T11:12:00+00:00,2024-01-01T11:18:00+00:00,1,44380.936984217435,44232.94792874874,0.7720769354122041,-155.3775338018117,-1.3598720473780102,0,1
2024-01-01T11:19:00+00:00,2024-01-01T11:22:00+00:00,1,44271.45476705564,44175.413052965814,1.169457649862874,-174.44502698576204,-1.5531528276429356,0,1
2024-01-01T11:25:00+00:00,2024-01-01T12:01:00+00:00,1,44182.51932879105,44579.03760337932,1.0303853571525108,178.8586222010723,1.623977368354999,3,0
2024-01-01T12:01:00+00:00,2024-01-01T12:54:00+00:00,1,44579.03760337932,44409.86962602231,0.6642621667772057,-58.008979171213426,-0.5162232353890452,1,1
2024-01-01T12:55:00+00:00,2024-01-01T13:04:00+00:00,1,44475.16869951085,44342.55457650614,0.8418920430132822,-156.5787237165973,-1.4024473504795574,0,1
2024-01-01T13:04:00+00:00,2024-01-01T13:46:00+00:00,-1,44354.01902717075,43958.996152318425,0.8459215474450481,187.51780222002014,1.7095322004026718,3,0
2024-01-01T13:48:00+00:00,2024-01-01T14:09:00+00:00,-1,43982.446989827506,44073.380092536645,1.2320432283993294,-87.43263386472651,-0.7804149953687455,1,1
2024-01-01T14:11:00+00:00,2024-01-01T14:36:00+00:00,-1,44095.936846804034,44195.742061865654,1.1115712284006087,43.24642744035146,0.3898160393372731,2,1
2024-01-01T14:37:00+00:00,2024-01-01T14:49:00+00:00,-1,44139.84053190582,44278.356479539885,0.8048256374374124,-154.11103620080434,-1.382395020522944,0,1
2024-01-01T14:49:00+00:00,2024-01-01T14:57:00+00:00,1,44265.75910555305,44128.84665549142,0.8001814140935021,-152.05956315772622,-1.3879772139257405,0,1
2024-01-01T15:04:00+00:00,2024-01-01T15:05:00+00:00,-1,44112.64753018615,44203.6313782124,1.18322159035085,-170.28809771616108,-1.5818085098022838,0,1
2024-01-01T15:06:00+00:00,2024-01-01T16:11:00+00:00,-1,44144.84242369963,44264.707977140795,0.8803651183089777,50.44712065780278,0.4780564274919702,2,1
2024-01-01T16:11:00+00:00,2024-01-01T17:03:00+00:00,1,44267.96369422194,44736.51802988934,0.7991332100579874,182.5996073109684,1.720105660894047,3,0
2024-01-01T17:03:00+00:00,2024-01-01T17:09:00+00:00,1,44736.51802988934,44574.81680525282,0.6706104822629713,-144.4394697529575,-1.331993908868271,0,1
2024-01-01T17:13:00+00:00,2024-01-01T17:58:00+00:00,1,44527.06853256303,44848.673061402915,1.113020761888889,166.5905887805377,1.5622792363981721,3,0
2024-01-01T17:58:00+00:00,2024-01-01T18:35:00+00:00,1,44848.673061402915,44708.80407051438,0.7772661011795826,-63.574308948988175,-0.5847772642942122,1,1
2024-01-01T18:36:00+00:00,2024-01-01T19:02:00+00:00,1,44721.959508848,45120.44116729268,1.0315104288295778,173.43458113014066,1.6070550563873778,3,0
2024-01-01T19:02:00+00:00,2024-01-01T19:46:00+00:00,1,45120.44116729268,45679.42176947102,0.726437690367253,194.0553718034691,1.76271869392233,3,0
2024-01-01T19:46:00+00:00,2024-01-01T19:56:00+00:00,1,45679.42176947102,45539.55212054241,0.8044230584370088,-156.6090669745803,-1.3919027933740047,0,1
2024-01-01T19:59:00+00:00,2024-01-01T22:10:00+00:00,1,45530.910455397425,46061.50141713501,0.7550686971931843,193.12556747784805,1.7468454389936863,3,0
2024-01-01T22:10:00+00:00,2024-01-01T22:49:00+00:00,1,46061.50141713501,45921.54913527452,0.8072096112199766,-67.21170938735153,-0.5949474847124068,1,1
2024-01-01T22:49:00+00:00,2024-01-01T22:51:00+00:00,1,45959.57284434421,45860.62805479955,1.1332651388579889,-174.63193870416842,-1.5573965811338928,0,1
2024-01-01T22:51:00+00:00,2024-01-01T23:45:00+00:00,1,45918.33898516044,46350.10540229556,1.0022949032870654,177.86083607039686,1.6176846295489806,3,0
2024-01-01T23:45:00+00:00,2024-01-01T23:54:00+00:00,1,46350.10540229556,46179.18528443911,0.6562775832737234,-148.6732840691702,-1.3254159146407054,0,1
2024-01-01T23:55:00+00:00,2024-01-02T00:50:00+00:00,1,46280.62999872918,46136.685316147494,0.7663542956248307,-64.62335669026479,-0.5858201289718398,1,1
2024-01-02T00:52:00+00:00,2024-01-02T01:48:00+00:00,1,46215.51857469019,46696.16944586818,0.7817442864370218,188.79578669623447,1.7240863259061783,3,0
2024-01-02T01:48:00+00:00,2024-01-02T02:23:00+00:00,1,46696.16944586818,47110.43240070984,0.998413730693061,181.2068200576374,1.6198737270789918,3,0
2024-01-02T02:23:00+00:00,2024-01-02T03:04:00+00:00,1,47110.43240070984,47672.3868762701,0.7335838975114536,200.4839713470414,1.7566302106097398,3,0
2024-01-02T03:04:00+00:00,2024-01-02T05:30:00+00:00,1,47672.3868762701,48289.162059962735,0.6992500322103499,207.26624045396034,1.7770361599642273,3,0
2024-01-02T05:30:00+00:00,2024-01-02T06:26:00+00:00,1,48289.162059962735,48155.6154573857,0.8927725737789259,-75.57883621790714,-0.6339084136455508,1,1
2024-01-02T06:27:00+00:00,2024-01-02T06:33:00+00:00,1,48211.28879200176,48057.71651957185,0.770204196225544,-162.84105296906029,-1.3767186982064643,0,1
2024-01-02T06:33:00+00:00,2024-01-02T07:19:00+00:00,1,48173.11861661358,47998.44316225007,0.6654998889848653,-61.72034520715273,-0.5309437067192956,1,1
2024-01-02T07:20:00+00:00,2024-01-02T07:28:00+00:00,-1,48004.522109526195,48169.98995188365,0.6978696858979542,-155.67607209171456,-1.3481366875322525,0,1
2024-01-02T07:34:00+00:00,2024-01-02T07:45:00+00:00,-1,48235.75916861316,48389.64970440157,0.737725940646272,-156.23076523760383,-1.3761304144260342,0,1
2024-01-02T07:45:00+00:00,2024-01-02T08:01:00+00:00,1,48390.52538574644,48256.203093968485,0.8306600060847171,-70.55052007475828,-0.632308217007549,1,1
2024-01-02T08:02:00+00:00,2024-01-02T09:02:00+00:00,1,48289.529058755885,48131.126346457844,0.6988155227820823,-62.63342183384505,-0.5658235015665412,1,1
2024-01-02T09:02:00+00:00,2024-01-02T09:13:00+00:00,-1,48136.77469335421,48291.80173469034,0.7089818362295921,-150.8650751264518,-1.3726067990085835,0,1
2024-01-02T09:13:00+00:00,2024-01-02T09:18:00+00:00,-1,48220.98110734169,48342.81053495061,0.8866949891566903,-159.33430577677143,-1.474968802402685,0,1
